meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1232,9496,1,2,2024-04-07T05:05:53.290000+00:00,,56.617,39.032,179.0,245.0,True,1711.131,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2051]",126.0
1232,9496,11,2,2024-04-07T05:05:55.247000+00:00,,56.894,40.221,189.0,268.0,True,1711.382,"[2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2049]",152.0
1232,9496,4,2,2024-04-07T05:05:57.347000+00:00,,57.89,39.001,241.0,255.0,True,1710.61,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2051, 2049, 2048, 2048]","[2049, 2048, 2048, 2051, 2049]",226.0
1232,9496,55,2,2024-04-07T05:06:00.137000+00:00,,55.565,41.069,253.0,259.0,True,1712.219,"[2064, 2064, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049]",244.0
1232,9496,14,2,2024-04-07T05:06:03.180000+00:00,,50.532,44.563,256.0,213.0,True,1714.647,"[2064, 2064, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049]",186.0
1232,9496,81,2,2024-04-07T05:06:06.866000+00:00,,51.586,44.538,259.0,232.0,True,1714.222,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2051]",167.0
1232,9496,44,2,2024-04-07T05:06:15.227000+00:00,,49.281,46.041,271.0,209.0,True,1709.973,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049]",130.0
1232,9496,16,2,2024-04-07T05:06:17.113000+00:00,,47.727,46.919,254.0,260.0,True,1711.605,"[2064, 2064, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049]",148.0
1232,9496,63,2,2024-04-07T05:06:22.083000+00:00,,46.712,47.765,259.0,255.0,True,1708.819,"[2064, 2064, 2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2049]",167.0
1232,9496,27,2,2024-04-07T05:06:25.403000+00:00,,46.261,48.445,259.0,275.0,True,1708.601,"[2064, 2064, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049]",208.0
1232,9496,77,2,2024-04-07T05:06:27.233000+00:00,,47.639,46.812,254.0,265.0,True,1708.578,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049]",174.0
1232,9496,22,2,2024-04-07T05:06:29.985000+00:00,,44.263,18.922,281.0,299.0,True,203.186,"[2064, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",298.0
1232,9496,31,2,2024-04-07T05:06:32.725000+00:00,,47.17,47.248,261.0,270.0,True,1711.609,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049]",270.0
1232,9496,10,2,2024-04-07T05:06:35.750000+00:00,,48.342,45.231,261.0,273.0,True,1711.726,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2048, 2049, 2049]",277.0
1232,9496,18,2,2024-04-07T05:06:42.122000+00:00,,48.537,45.206,275.0,277.0,True,1708.558,"[2064, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",244.0
1232,9496,20,2,2024-04-07T05:06:47.778000+00:00,,46.733,44.726,259.0,272.0,True,1705.561,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049]",227.0
1232,9496,2,2,2024-04-07T05:06:51.029000+00:00,,44.751,44.921,275.0,290.0,True,1704.529,"[2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2049, 2049, 2051, 2051]","[2051, 2049, 2048, 2049, 2049]",278.0
1232,9496,24,2,2024-04-07T05:06:57.616000+00:00,,46.496,39.651,251.0,264.0,True,1699.553,"[2064, 2064, 2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 0]",242.0
1232,9496,1,1,2024-04-07T05:32:00.407000+00:00,35.733,64.045,31.458,278.0,214.0,False,131.236,"[2048, 2049, 2051, 2051, 2051, 2051, 2049, 2051, 2049]","[2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2051, 2064, 2064]",184.0
1232,9496,11,1,2024-04-07T05:32:00.407000+00:00,36.32,65.032,31.841,278.0,223.0,False,133.193,"[2048, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",169.0
1232,9496,4,1,2024-04-07T05:32:00.407000+00:00,37.294,65.666,32.333,279.0,264.0,False,135.293,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2051, 2049, 2064, 2064]",179.0
